Symbol,Strategy,Trades,Win Rate,Total Return,Annualized Return,Sharpe Ratio,Max Drawdown,Profit Factor,Data Days
LME Copper,Conservative MA,0,0.0,0.0,0.0,0.0,0.0,0.0,248
LME Copper,Quality Candlesticks,0,0.0,0.0,0.0,0.0,0.0,0.0,248
LME Copper,Mixed Balanced,0,0.0,0.0,0.0,0.0,0.0,0.0,248
Gold,Conservative MA,0,0.0,0.0,0.0,0.0,0.0,0.0,253
Gold,Quality Candlesticks,0,0.0,0.0,0.0,0.0,0.0,0.0,253
Gold,Mixed Balanced,7,42.857142857142854,-10.60212035045118,-15.295549122192416,-2.770320788495586,-10.602120350451184,1.0542004590583414,253
Gold Futures,Conservative MA,0,0.0,0.0,0.0,0.0,0.0,0.0,246
Gold Futures,Quality Candlesticks,0,0.0,0.0,0.0,0.0,0.0,0.0,246
Gold Futures,Mixed Balanced,8,62.5,-12.54448795950161,-18.61275652527678,-2.921276712954529,-12.241885458095314,2.4499950723328303,246
Silver Futures,Conservative MA,0,0.0,0.0,0.0,0.0,0.0,0.0,246
Silver Futures,Quality Candlesticks,0,0.0,0.0,0.0,0.0,0.0,0.0,246
Silver Futures,Mixed Balanced,6,66.66666666666666,0.3324714304806112,0.4933011062009068,1.041489652364572,-0.17682608994785687,2.43559480117374,246
S&P 500,Conservative MA,0,0.0,0.0,0.0,0.0,0.0,0.0,245
S&P 500,Quality Candlesticks,0,0.0,0.0,0.0,0.0,0.0,0.0,245
S&P 500,Mixed Balanced,3,0.0,-1.8579177029500424,-2.7679182105174105,-2.7050133995817593,-1.8579177029500404,0.0,245
